"Device: BTH-1208LS"
"Serial Number: 1CA5AEE"
"Channel Count: 2"
"Sample Count: 16674"
"Start Time: 03/08/2018 3:31:58.246 PM"
"Scan Rate: 500"
"Sample","Date/Time","Position (V)","Température (V)"
"68","03/08/2018 3:31:58.382 PM","3.283272579312320","-0.005128145858180"
"69","03/08/2018 3:31:58.384 PM","3.251526546431710","-0.005616546375677"
"70","03/08/2018 3:31:58.386 PM","3.214896508492530","-0.004639745340683"
"71","03/08/2018 3:31:58.388 PM","3.173382465494800","-0.002686143270694"
"72","03/08/2018 3:31:58.390 PM","3.290598586900160","-0.005616546375677"
"73","03/08/2018 3:31:58.392 PM","3.310134607134390","-0.005128145858180"
"74","03/08/2018 3:31:58.394 PM","3.288156584370880","-0.006104946893174"
"75","03/08/2018 3:31:58.396 PM","3.261294556548820","-0.004639745340683"
"76","03/08/2018 3:31:58.398 PM","3.222222516080360","-0.003662944305688"
"77","03/08/2018 3:31:58.400 PM","3.188034480670470","-0.004151344823185"
"78","03/08/2018 3:31:58.402 PM","3.229548523668200","-0.006104946893174"
"79","03/08/2018 3:31:58.404 PM","3.324786622310060","-0.005128145858180"
"80","03/08/2018 3:31:58.406 PM","3.302808599546550","-0.004639745340683"
"81","03/08/2018 3:31:58.408 PM","3.271062566665930","-0.004639745340683"
"82","03/08/2018 3:31:58.410 PM","3.236874531256040","-0.004639745340683"
"83","03/08/2018 3:31:58.412 PM","3.197802490787580","-0.005128145858180"
"84","03/08/2018 3:31:58.414 PM","3.219780513551090","-0.004639745340683"
"85","03/08/2018 3:31:58.416 PM","3.293040589429440","-0.005128145858180"
"86","03/08/2018 3:31:58.418 PM","3.300366597017270","-0.004639745340683"
"87","03/08/2018 3:31:58.420 PM","3.271062566665930","-0.005128145858180"
"88","03/08/2018 3:31:58.422 PM","3.234432528726760","-0.005128145858180"
"89","03/08/2018 3:31:58.424 PM","3.183150475611910","-0.005128145858180"
"90","03/08/2018 3:31:58.426 PM","3.263736559078100","-0.006104946893174"
"91","03/08/2018 3:31:58.428 PM","3.307692604605110","-0.004639745340683"
"92","03/08/2018 3:31:58.430 PM","3.293040589429440","-0.004639745340683"
"93","03/08/2018 3:31:58.432 PM","3.258852554019540","-0.006104946893174"
"94","03/08/2018 3:31:58.434 PM","3.212454505963250","-0.005128145858180"
"95","03/08/2018 3:31:58.436 PM","3.180708473082630","-0.004639745340683"
"96","03/08/2018 3:31:58.438 PM","3.258852554019540","-0.004151344823185"
"97","03/08/2018 3:31:58.440 PM","3.322344619780780","-0.004639745340683"
"98","03/08/2018 3:31:58.442 PM","3.297924594487990","-0.006593347410671"
"99","03/08/2018 3:31:58.444 PM","3.273504569195210","-0.005616546375677"
"100","03/08/2018 3:31:58.446 PM","3.236874531256040","-0.005616546375677"
"101","03/08/2018 3:31:58.448 PM","3.207570500904690","-0.005128145858180"
"102","03/08/2018 3:31:58.450 PM","3.173382465494800","-0.004639745340683"
"103","03/08/2018 3:31:58.452 PM","3.293040589429440","-0.005128145858180"
"104","03/08/2018 3:31:58.454 PM","3.305250602075830","-0.004639745340683"
"105","03/08/2018 3:31:58.456 PM","3.283272579312320","-0.005128145858180"
"106","03/08/2018 3:31:58.458 PM","3.236874531256040","-0.005128145858180"
"107","03/08/2018 3:31:58.460 PM","3.197802490787580","-0.005128145858180"
"108","03/08/2018 3:31:58.462 PM","3.163614455377680","-0.004639745340683"
"109","03/08/2018 3:31:58.464 PM","3.293040589429440","-0.004639745340683"
"110","03/08/2018 3:31:58.466 PM","3.310134607134390","-0.006104946893174"
"111","03/08/2018 3:31:58.468 PM","3.285714581841600","-0.004639745340683"
"112","03/08/2018 3:31:58.470 PM","3.251526546431710","-0.004639745340683"
"113","03/08/2018 3:31:58.472 PM","3.202686495846140","-0.004639745340683"
"114","03/08/2018 3:31:58.474 PM","3.173382465494800","-0.003662944305688"
"115","03/08/2018 3:31:58.476 PM","3.263736559078100","-0.005128145858180"
"116","03/08/2018 3:31:58.478 PM","3.310134607134390","-0.003662944305688"
"117","03/08/2018 3:31:58.480 PM","3.280830576783050","-0.005128145858180"
"118","03/08/2018 3:31:58.482 PM","3.241758536314590","-0.004151344823185"
"119","03/08/2018 3:31:58.484 PM","3.200244493316860","-0.004151344823185"
"120","03/08/2018 3:31:58.486 PM","3.214896508492530","-0.002686143270694"
"121","03/08/2018 3:31:58.488 PM","3.315018612192940","-0.004151344823185"
"122","03/08/2018 3:31:58.490 PM","3.302808599546550","-0.004151344823185"
"123","03/08/2018 3:31:58.492 PM","3.283272579312320","-0.006593347410671"
"124","03/08/2018 3:31:58.494 PM","3.241758536314590","-0.004639745340683"
"125","03/08/2018 3:31:58.496 PM","3.202686495846140","-0.004151344823185"
"126","03/08/2018 3:31:58.498 PM","3.173382465494800","-0.006104946893174"
"127","03/08/2018 3:31:58.500 PM","3.280830576783050","-0.004151344823185"
"128","03/08/2018 3:31:58.502 PM","3.310134607134390","-0.004639745340683"
"129","03/08/2018 3:31:58.504 PM","3.295482591958720","-0.004639745340683"
"130","03/08/2018 3:31:58.506 PM","3.268620564136650","-0.004639745340683"
"131","03/08/2018 3:31:58.508 PM","3.224664518609640","-0.004151344823185"
"132","03/08/2018 3:31:58.510 PM","3.183150475611910","-0.005616546375677"
"133","03/08/2018 3:31:58.512 PM","3.256410551490260","-0.005616546375677"
"134","03/08/2018 3:31:58.514 PM","3.302808599546550","-0.006593347410671"
"135","03/08/2018 3:31:58.516 PM","3.283272579312320","-0.004151344823185"
"136","03/08/2018 3:31:58.518 PM","3.249084543902430","-0.006593347410671"
"137","03/08/2018 3:31:58.520 PM","3.214896508492530","-0.006104946893174"
"138","03/08/2018 3:31:58.522 PM","3.173382465494800","-0.004639745340683"
"139","03/08/2018 3:31:58.524 PM","3.275946571724490","-0.004639745340683"
"140","03/08/2018 3:31:58.526 PM","3.312576609663670","-0.004639745340683"
"141","03/08/2018 3:31:58.528 PM","3.283272579312320","-0.004639745340683"
"142","03/08/2018 3:31:58.530 PM","3.239316533785310","-0.005128145858180"
"143","03/08/2018 3:31:58.532 PM","3.202686495846140","-0.004151344823185"
"144","03/08/2018 3:31:58.534 PM","3.219780513551090","-0.005128145858180"
"145","03/08/2018 3:31:58.536 PM","3.324786622310060","-0.004639745340683"
"146","03/08/2018 3:31:58.538 PM","3.297924594487990","-0.005616546375677"
"147","03/08/2018 3:31:58.540 PM","3.271062566665930","-0.004639745340683"
"148","03/08/2018 3:31:58.542 PM","3.234432528726760","-0.005616546375677"
"149","03/08/2018 3:31:58.544 PM","3.188034480670470","-0.005616546375677"
"150","03/08/2018 3:31:58.546 PM","3.239316533785310","-0.003662944305688"
"151","03/08/2018 3:31:58.548 PM","3.327228624839340","-0.005616546375677"
"152","03/08/2018 3:31:58.550 PM","3.297924594487990","-0.005128145858180"
"153","03/08/2018 3:31:58.552 PM","3.268620564136650","-0.005616546375677"
"154","03/08/2018 3:31:58.554 PM","3.239316533785310","-0.004151344823185"
"155","03/08/2018 3:31:58.556 PM","3.202686495846140","-0.005128145858180"
"156","03/08/2018 3:31:58.558 PM","3.190476483199750","-0.005128145858180"
"157","03/08/2018 3:31:58.560 PM","3.297924594487990","-0.006104946893174"
"158","03/08/2018 3:31:58.562 PM","3.307692604605110","-0.005616546375677"
"159","03/08/2018 3:31:58.564 PM","3.273504569195210","-0.006104946893174"
"160","03/08/2018 3:31:58.566 PM","3.234432528726760","-0.004639745340683"
"161","03/08/2018 3:31:58.568 PM","3.185592478141190","-0.005616546375677"
"162","03/08/2018 3:31:58.570 PM","3.258852554019540","-0.004639745340683"
"163","03/08/2018 3:31:58.572 PM","3.307692604605110","-0.004639745340683"
"164","03/08/2018 3:31:58.574 PM","3.280830576783050","-0.004639745340683"
"165","03/08/2018 3:31:58.576 PM","3.246642541373150","-0.005128145858180"
"166","03/08/2018 3:31:58.578 PM","3.200244493316860","-0.005128145858180"
"167","03/08/2018 3:31:58.580 PM","3.168498460436240","-0.004639745340683"
"168","03/08/2018 3:31:58.582 PM","3.280830576783050","-0.004639745340683"
"169","03/08/2018 3:31:58.584 PM","3.310134607134390","-0.006104946893174"
"170","03/08/2018 3:31:58.586 PM","3.285714581841600","-0.004639745340683"
"171","03/08/2018 3:31:58.588 PM","3.253968548960980","-0.006104946893174"
"172","03/08/2018 3:31:58.590 PM","3.212454505963250","-0.005128145858180"
"173","03/08/2018 3:31:58.592 PM","3.173382465494800","-0.005128145858180"
"174","03/08/2018 3:31:58.594 PM","3.278388574253770","-0.006104946893174"
"175","03/08/2018 3:31:58.596 PM","3.312576609663670","-0.004151344823185"
"176","03/08/2018 3:31:58.598 PM","3.290598586900160","-0.005616546375677"
"177","03/08/2018 3:31:58.600 PM","3.258852554019540","-0.003662944305688"
"178","03/08/2018 3:31:58.602 PM","3.227106521138920","-0.003662944305688"
"179","03/08/2018 3:31:58.604 PM","3.183150475611910","-0.004639745340683"
"180","03/08/2018 3:31:58.606 PM","3.239316533785310","-0.005128145858180"
"181","03/08/2018 3:31:58.608 PM","3.312576609663670","-0.005128145858180"
"182","03/08/2018 3:31:58.610 PM","3.293040589429440","-0.005616546375677"
"183","03/08/2018 3:31:58.612 PM","3.263736559078100","-0.004151344823185"
"184","03/08/2018 3:31:58.614 PM","3.231990526197480","-0.005616546375677"
"185","03/08/2018 3:31:58.616 PM","3.188034480670470","-0.004151344823185"
"186","03/08/2018 3:31:58.618 PM","3.224664518609640","-0.005128145858180"
"187","03/08/2018 3:31:58.620 PM","3.327228624839340","-0.004639745340683"
"188","03/08/2018 3:31:58.622 PM","3.300366597017270","-0.005616546375677"
"189","03/08/2018 3:31:58.624 PM","3.271062566665930","-0.004639745340683"
"190","03/08/2018 3:31:58.626 PM","3.239316533785310","-0.004151344823185"
"191","03/08/2018 3:31:58.628 PM","3.188034480670470","-0.005128145858180"
"192","03/08/2018 3:31:58.630 PM","3.195360488258300","-0.004151344823185"
"193","03/08/2018 3:31:58.632 PM","3.324786622310060","-0.004639745340683"
"194","03/08/2018 3:31:58.634 PM","3.293040589429440","-0.004639745340683"
"195","03/08/2018 3:31:58.636 PM","3.261294556548820","-0.004639745340683"
"196","03/08/2018 3:31:58.638 PM","3.214896508492530","-0.004151344823185"
"197","03/08/2018 3:31:58.640 PM","3.180708473082630","-0.003174543788191"
"198","03/08/2018 3:31:58.642 PM","3.251526546431710","-0.005128145858180"
"199","03/08/2018 3:31:58.644 PM","3.319902617251500","-0.003662944305688"
"200","03/08/2018 3:31:58.646 PM","3.305250602075830","-0.004639745340683"
"201","03/08/2018 3:31:58.648 PM","3.280830576783050","-0.005616546375677"
"202","03/08/2018 3:31:58.650 PM","3.249084543902430","-0.005128145858180"
"203","03/08/2018 3:31:58.652 PM","3.212454505963250","-0.003662944305688"
"204","03/08/2018 3:31:58.654 PM","3.175824468024080","-0.004151344823185"
"205","03/08/2018 3:31:58.656 PM","3.244200538843870","-0.004151344823185"
"206","03/08/2018 3:31:58.658 PM","3.312576609663670","-0.004151344823185"
"207","03/08/2018 3:31:58.660 PM","3.290598586900160","-0.004151344823185"
"208","03/08/2018 3:31:58.662 PM","3.253968548960980","-0.005128145858180"
"209","03/08/2018 3:31:58.664 PM","3.217338511021810","-0.005128145858180"
"210","03/08/2018 3:31:58.666 PM","3.170940462965520","-0.004151344823185"
"211","03/08/2018 3:31:58.668 PM","3.280830576783050","-0.005128145858180"
"212","03/08/2018 3:31:58.670 PM","3.305250602075830","-0.005128145858180"
"213","03/08/2018 3:31:58.672 PM","3.278388574253770","-0.004151344823185"
"214","03/08/2018 3:31:58.674 PM","3.244200538843870","-0.004639745340683"
"215","03/08/2018 3:31:58.676 PM","3.202686495846140","-0.004639745340683"
"216","03/08/2018 3:31:58.678 PM","3.173382465494800","-0.004151344823185"
"217","03/08/2018 3:31:58.680 PM","3.302808599546550","-0.005616546375677"
"218","03/08/2018 3:31:58.682 PM","3.302808599546550","-0.005616546375677"
"219","03/08/2018 3:31:58.684 PM","3.278388574253770","-0.004639745340683"
"220","03/08/2018 3:31:58.686 PM","3.239316533785310","-0.005128145858180"
